Year,Price (in Crores)
1999,4166693.566
2000,4326735.898
2001,4535456.178
2002,4707983.811
2003,5078049.299
2004,5480379.926
2005,5914614.027
2006,6391375.247
2007,6881006.684
2008,7093402.584
2009,7651078.01
2010,8301234.844
2011,8736329
2012,9213017
2013,9801370
2014,10527674
2015,11369493
2016,12308193
2017,13144582
2018,13992914
2019,14534641
2020,13694869
2021,15021846
2022,16071429
2023,17381722
,
